,ticker
ALL_segment_11,ALL
ALL_segment_12,ALL
ALL_segment_13,ALL
ALL_segment_14,ALL
ALL_segment_15,ALL
ALL_segment_16,ALL
ALL_segment_17,ALL
ALL_segment_18,ALL
ALL_segment_19,ALL
ALL_segment_20,ALL
ALL_segment_21,ALL
ALL_segment_22,ALL
ALL_segment_23,ALL
ALL_segment_24,ALL
ALL_segment_25,ALL
ALL_segment_26,ALL
ALL_segment_27,ALL
ALL_segment_28,ALL
ALL_segment_29,ALL
ALL_segment_30,ALL
ALL_segment_31,ALL
ALL_segment_32,ALL
ALL_segment_33,ALL
ALL_segment_34,ALL
ALL_segment_35,ALL
ALL_segment_36,ALL
ALL_segment_37,ALL
ALL_segment_38,ALL
ALL_segment_39,ALL
ALL_segment_40,ALL
ALL_segment_41,ALL
ALL_segment_42,ALL
ALL_segment_43,ALL
ALL_segment_44,ALL
ALL_segment_45,ALL
ALL_segment_46,ALL
ALL_segment_47,ALL
ALL_segment_48,ALL
ALL_segment_49,ALL
ALL_segment_50,ALL
ALL_segment_51,ALL
ALL_segment_52,ALL
ALL_segment_53,ALL
ALL_segment_54,ALL
ALL_segment_55,ALL
ALL_segment_56,ALL
ALL_segment_57,ALL
ALL_segment_58,ALL
ALL_segment_59,ALL
ALL_segment_60,ALL
ALL_segment_61,ALL
ALL_segment_62,ALL
ALL_segment_63,ALL
GOOGL_segment_1,GOOGL
GOOGL_segment_2,GOOGL
GOOGL_segment_3,GOOGL
GOOGL_segment_4,GOOGL
GOOGL_segment_5,GOOGL
GOOGL_segment_6,GOOGL
GOOGL_segment_7,GOOGL
GOOGL_segment_8,GOOGL
GOOGL_segment_9,GOOGL
GOOGL_segment_10,GOOGL
GOOGL_segment_11,GOOGL
GOOGL_segment_12,GOOGL
GOOGL_segment_13,GOOGL
GOOGL_segment_14,GOOGL
GOOGL_segment_15,GOOGL
GOOGL_segment_16,GOOGL
GOOGL_segment_17,GOOGL
GOOGL_segment_18,GOOGL
GOOGL_segment_19,GOOGL
GOOGL_segment_20,GOOGL
GOOGL_segment_21,GOOGL
GOOGL_segment_22,GOOGL
GOOGL_segment_23,GOOGL
GOOGL_segment_24,GOOGL
GOOGL_segment_25,GOOGL
GOOGL_segment_26,GOOGL
GOOGL_segment_27,GOOGL
GOOGL_segment_28,GOOGL
